date,股票代码,名称,close,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,volume,成交金额,总市值,流通市值
2012/3/29,'601238,N广汽,9.2,10.55,9.11,9.8,9.09,0.11,1.2101,53.5509,153671101,1494620247,59202184892,2640054282
2012/3/30,'601238,广汽集团,8.52,9.37,8.47,9.2,9.2,-0.68,-7.3913,15.1349,43431582,383016262,54826371226,2444919835
2012/4/5,'601238,广汽集团,8.61,8.63,8.24,8.52,8.52,0.09,1.0563,10.4012,29847426,251199529,55405523035,2470746453
2012/4/6,'601238,广汽集团,9.04,9.19,8.37,8.58,8.61,0.43,4.9942,13.6688,39224256,343598477,58172581677,2594140295
2012/4/9,'601238,广汽集团,8.59,8.96,8.58,8.85,9.04,-0.45,-4.9779,7.6094,21836041,191111669,55276822633,2465007205
2012/4/10,'601238,广汽集团,8.7,8.75,8.33,8.45,8.59,0.11,1.2806,6.2161,17837854,151600858,55984674844,2496573071
2012/4/11,'601238,广汽集团,8.58,8.86,8.43,8.5,8.7,-0.12,-1.3793,6.2946,18063029,156309047,55212472432,2462137581
2012/4/12,'601238,广汽集团,8.72,8.75,8.43,8.51,8.58,0.14,1.6317,6.0421,17338469,149371049,56113375246,2502312320
2012/4/13,'601238,广汽集团,8.64,8.77,8.62,8.71,8.72,-0.08,-0.9174,5.6254,16142765,140236476,55598573638,2479355326
2012/4/16,'601238,广汽集团,8.44,8.55,8.38,8.54,8.64,-0.2,-2.3148,5.1574,14799666,125358481,54311569619,2421962842
2012/4/17,'601238,广汽集团,8.37,8.52,8.3,8.44,8.44,-0.07,-0.8294,4.3827,12576695,105581645,53861118212,2401875472
2012/4/18,'601238,广汽集团,8.57,8.65,8.36,8.39,8.37,0.2,2.3895,5.4597,15667297,133494833,55148122231,2459267957
2012/4/19,'601238,广汽集团,8.47,8.68,8.44,8.6,8.57,-0.1,-1.1669,4.0695,11677922,99845034,54504620222,2430571714
2012/4/23,'601238,广汽集团,8.4,8.58,8.37,8.53,8.47,-0.07,-0.8264,3.8987,11187740,94352327,54054168815,2410484345
2012/4/24,'601238,广汽集团,8.09,8.47,7.89,8.35,8.4,-0.31,-3.6905,5.2663,15112399,123157052,52059312585,2321525994
2012/4/25,'601238,广汽集团,8.14,8.17,7.98,8.06,8.09,0.05,0.618,4.0974,11758049,94900078,52381063590,2335874115
2012/4/26,'601238,广汽集团,8.05,8.13,8.01,8.1,8.14,-0.09,-1.1057,3.2646,9368137,75587763,51801911781,2310047497
2012/4/27,'601238,广汽集团,8.3,8.45,8.02,8.06,8.05,0.25,3.1056,5.903,16939439,140815695,53410666805,2381788103
2012/5/2,'601238,广汽集团,8.69,8.84,8.3,8.35,8.3,0.39,4.6988,8.5532,24544355,210388829,55920324643,2493703447
2012/5/3,'601238,广汽集团,8.56,8.66,8.47,8.6,8.69,-0.13,-1.496,4.7955,13761233,117726548,55083772030,2456398332
2012/5/4,'601238,广汽集团,8.54,8.65,8.45,8.52,8.56,-0.02,-0.2336,3.2606,9356618,80022561,54955071628,2450659084
2012/5/7,'601238,广汽集团,8.44,8.53,8.35,8.48,8.54,-0.1,-1.171,4.2934,12320550,103872444,54311569619,2421962842
2012/5/8,'601238,广汽集团,8.53,8.62,8.26,8.44,8.44,0.09,1.0664,4.4945,12897421,109061133,54890721427,2447789460
2012/5/9,'601238,广汽集团,8.33,8.47,8.32,8.45,8.53,-0.2,-2.3447,2.5423,7295439,61142915,53603717408,2390396975
2012/5/10,'601238,广汽集团,8.34,8.43,8.21,8.38,8.33,0.01,0.12,2.2274,6391720,53163794,53668067609,2393266599
2012/5/11,'601238,广汽集团,8.27,8.4,8.24,8.3,8.34,-0.07,-0.8393,1.6354,4692899,38995106,53217616202,2373179230
2012/5/14,'601238,广汽集团,8.19,8.44,8.18,8.34,8.27,-0.08,-0.9674,2.5348,7273994,60367957,52702814594,2350222236
2012/5/15,'601238,广汽集团,8.26,8.28,8.07,8.14,8.19,0.07,0.8547,1.898,5446436,44532835,53153266001,2370309606
2012/5/16,'601238,广汽集团,8.05,8.26,8.04,8.21,8.26,-0.21,-2.5424,1.7887,5132830,41716398,51801911781,2310047497
2012/5/17,'601238,广汽集团,8.21,8.24,8.04,8.06,8.05,0.16,1.9876,2.4595,7057816,57567157,52831514996,2355961485
2012/5/18,'601238,广汽集团,8.06,8.16,8.02,8.1,8.21,-0.15,-1.827,1.805,5179765,41824495,51866261982,2312917121
2012/5/21,'601238,广汽集团,8.03,8.12,8,8.06,8.06,-0.03,-0.3722,1.2236,3511399,28253958,51673211379,2304308249
2012/5/22,'601238,广汽集团,8.12,8.15,8.06,8.08,8.03,0.09,1.1208,1.4113,4050014,32804981,52252363188,2330134867
2012/5/23,'601238,广汽集团,8.13,8.14,8.04,8.09,8.12,0.01,0.1232,1.4458,4148992,33559612,52316713389,2333004491
